미국 USD,"1,180.60"
유럽연합 EUR,"1,322.80"
일본 JPY (100엔),"1,084.06"
중국 CNY,171.33
홍콩 HKD,151.13
대만 TWD,37.90
영국 GBP,"1,470.02"
오만 OMR,"3,066.49"
캐나다 CAD,899.20
스위스 CHF,"1,187.91"
스웨덴 SEK,124.65
호주 AUD,817.39
뉴질랜드 NZD,779.08
체코 CZK,51.75
칠레 CLP,1.72
터키 TRY,206.15
몽골 MNT,0.44
이스라엘 ILS,330.63
덴마크 DKK,177.22
노르웨이 NOK,136.49
사우디아라비아 SAR,314.79
쿠웨이트 KWD,"3,879.72"
바레인 BHD,"3,131.56"
아랍에미리트 AED,321.41
요르단 JOD,"1,665.16"
이집트 EGP,71.08
태국 THB,38.31
싱가포르 SGD,867.04
말레이시아 MYR,285.07
인도네시아 IDR 100,8.36
카타르 QAR,324.25
카자흐스탄 KZT,3.07
브루나이 BND,867.04
인도 INR,17.22
파키스탄 PKR,7.45
방글라데시 BDT,13.98
필리핀 PHP,22.98
멕시코 MXN,61.66
브라질 BRL,310.64
베트남 VND 100,5.08
남아프리카 공화국 ZAR,83.21
러시아 RUB,18.49
헝가리 HUF,4.06
폴란드 PLN,309.89
